Queue Len,Qstat Response Time,Qsub Resposne Time,Sleep Job Throughput,Big Job Expansion Ratio
0,0.003487107554390277,0.0037472586067174535,150.4769085488819,1.0056291145340222
100,0.004003342647157153,0.004229796444221999,197.92292758953351,1.006324477239828
200,0.004479545370927149,0.004751098191568656,243.04452839718346,1.0068935626653217
300,0.005009120162252152,0.005178937989930528,289.5369503609165,1.007590141636141
400,0.005558238346458708,0.005635528478209483,335.9229458176636,1.008271094700321
500,0.006082374200709358,0.006172124488906797,378.4314144883522,1.009029053986569
600,0.006583535952545713,0.006693896946713127,421.58591740844065,1.0098119926268423
700,0.007131507266665352,0.0070750488244899,465.47258657421963,1.0105284088238777
800,0.007607552386352789,0.007595753743001126,511.97763780408593,1.011226636893914
900,0.00808639475041803,0.007995567985019526,554.0564426905252,1.011811748690855
1000,0.008635352558275567,0.008437983224674013,601.3185107206368,1.0125290121134936
1100,0.00913165365605191,0.008867073239529564,646.2822544614581,1.0131690982005477
1200,0.009662243992267122,0.009281460672758538,693.3902678520149,1.0138511384778714
1300,0.010223723757947292,0.009713801400145692,740.2807125422246,1.0144999492846476
1400,0.010739645496571205,0.010208633933378276,782.6175515798163,1.0150917911114437
1500,0.011280884926860494,0.01076732458868306,828.0391125913546,1.0158713017441983
1600,0.011772489316812736,0.011247808324357012,873.824487308912,1.0166183360155847
1700,0.012325342128850083,0.011713771634483741,920.9740874561028,1.017300553418248
1800,0.012812572049684553,0.01223251206593036,967.4358765438369,1.017945650754854
1900,0.013334761858358805,0.012643878841855251,1013.5217536847016,1.0186192150862674
2000,0.01387153022932252,0.013086275502462181,1061.0734822126205,1.0192552118748994
2100,0.014347113160291478,0.01352224592224187,1106.1749002269196,1.0198742411695219
2200,0.014848720912344316,0.014061611798128667,1150.8834558590877,1.0206397411765205
2300,0.015331149519430378,0.014558323590812773,1198.395601067702,1.0211524758922386
2400,0.015857518063583473,0.01498728746612636,1242.541148610135,1.021770858104276
2500,0.01640626644273091,0.015505610518949713,1287.2822020642031,1.0223618760915683
2600,0.016919102918285293,0.01597760009756766,1329.7359371495186,1.023119498811077
2700,0.01742288200059185,0.016472365643183585,1371.8860234918168,1.0236132501516493
